elapsed_s,rate_ticks_per_sec
1.000,116.0
1.500,265.9
2.000,346.2
2.500,492.0
3.000,681.7
3.500,836.2
4.000,976.2
4.500,1117.9
5.000,1290.1
5.500,1439.8
6.000,1592.1
6.500,1626.2
7.000,1626.5
7.500,1669.0
8.000,1673.6
8.500,1678.2
9.000,1684.3
9.500,1587.7
10.000,1535.0
10.500,1610.1
11.000,1716.0
11.500,1673.9
12.000,1637.8
12.500,1606.2
13.000,1550.1
13.500,1611.3
14.000,1596.0
14.500,1656.4
15.000,1592.2
15.500,1652.0
16.000,1679.8
16.500,1654.8
17.000,1601.9
17.500,1609.2
18.000,1616.8
18.500,1607.9
19.000,1567.9
19.500,1576.1
20.000,1578.2
20.500,1561.5
21.000,1694.8
21.499,1593.8
21.999,1562.9
22.499,1564.2
22.999,1638.0
23.499,1625.9
23.999,1565.7
24.499,1604.4
24.999,1617.9
25.499,1660.3
25.999,1607.9
26.499,1613.9
26.999,1731.9
27.498,1724.6
27.999,1697.8
28.498,1672.1
28.999,1565.9
29.499,1612.0
29.999,1514.0
30.498,1624.2
30.999,1665.9
31.499,1718.0
31.999,1695.8
32.498,1666.3
32.998,1566.3
33.498,1568.0
33.998,1385.7
34.498,1542.2
34.998,1607.8
35.498,1592.4
35.998,1659.9
36.499,1723.5
36.998,1708.4
37.498,1693.8
37.998,1696.5
38.498,1581.8
38.998,1564.0
39.499,1567.1
39.998,1549.2
40.498,1579.9
40.998,1618.2
41.498,1584.1
41.998,1566.0
42.498,1587.9
42.998,1498.0
43.498,1582.4
43.998,1601.8
44.497,1578.9
44.997,1574.0
45.497,1622.2
45.997,1659.9
46.497,1591.4
46.997,1648.5
47.497,1620.2
47.997,1567.8
48.497,1584.1
48.997,1576.0
49.497,1690.3
49.997,1686.0
50.497,1556.1
50.997,1663.9
51.497,1612.4
51.997,1561.1
52.497,1596.6
52.997,1594.3
53.497,1594.1
53.997,1623.2
54.497,1568.0
54.997,1572.2
55.497,1614.3
55.997,1628.2
56.497,1740.1
56.997,1703.7
57.497,1712.5
57.997,1592.0
58.497,1431.2
58.997,1594.6
59.497,1584.0
59.997,1552.0
60.497,1608.4
